sv_0,sv_1,sv_2,sv_3,sv_4,sv_5,sv_6,sv_7,sv_8,sv_9,sv_10,sv_11,sv_12,sv_13,sv_14,sv_15,entanglement_class
0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067797290918,-3.2102598167361806e-05,-3.210259816736181e-05,1.4574557034935213e-09,A-B-CD
0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.707106779867787,-3.053693598271205e-05,-3.053693598271205e-05,1.3187604556508585e-09,A-B-CD
0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067799932835,-2.9047632043427983e-05,-2.9047632043427986e-05,1.1932638056990468e-09,A-B-CD
0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067801068378,-2.7630962313997156e-05,-2.7630962313997156e-05,1.0797097409844908e-09,A-B-CD
0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067802095856,-2.6283384382253998e-05,-2.6283384382254e-05,9.7696177426068e-10,A-B-CD
0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067803025559,-2.500152860150615e-05,-2.500152860150615e-05,8.839915693418655e-10,A-B-CD
0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067803866788,-2.3782189664663478e-05,-2.3782189664663475e-05,7.998686491688482e-10,A-B-CD
0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067804627964,-2.2622318589302256e-05,-2.2622318589302256e-05,7.237510832818504e-10,A-B-CD
0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067805316704,-2.151901509362182e-05,-2.151901509362182e-05,6.548770614974798e-10,A-B-CD
0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067805939901,-2.0469520344230072e-05,-2.0469520344230072e-05,5.925572694563551e-10,A-B-CD
0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067806503795,-1.947121005762403e-05,-1.947121005762403e-05,5.361679897333279e-10,A-B-CD
0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067807014026,-1.8521587938114444e-05,-1.852158793811444e-05,4.851448594638345e-10,A-B-CD
0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067807475702,-1.761827943578711e-05,-1.761827943578711e-05,4.3897722201067387e-10,A-B-CD
0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067807893443,-1.6759025808891597e-05,-1.6759025808891597e-05,3.9720301614073715e-10,A-B-CD
0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067808271432,-1.594167847581064e-05,-1.5941678475810645e-05,3.5940415156087973e-10,A-B-CD
0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067808613452,-1.516419364248753e-05,-1.5164193642487528e-05,3.252023245297518e-10,A-B-CD
0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067808922922,-1.4424627191876442e-05,-1.4424627191876442e-05,2.942552316667924e-10,A-B-CD
